"#Req. Aircraft","Airline","Livery","Ac.Type","Flighttype","Performance class","Registration","Heavy","Ac.Number","Model","Offset","Radius","Home port"
"318-ROT","ROT","ROT","318","gate","jet_transport","L-GAV","false","","","","",""
"733-ROT","ROT","ROT","733","gate","jet_transport","L-GAV","false","","","","",""
"73G-ROT","ROT","ROT","73G","gate","jet_transport","L-GAV","false","","","","",""
"AT5-ROT","ROT","ROT","AT5","gate","jet_transport","L-GAV","false","","","","",""
"AT7-ROT","ROT","ROT","AT7","gate","jet_transport","L-GAV","false","","","","",""
"320-ROT","ROT","ROT","320","gate","jet_transport","L-GAV","false","","","","",""
"EM2-ROT","ROT","ROT","EM2","gate","jet_transport","L-GAV","false","","","","",""
"32S-ROT","ROT","ROT","32S","gate","jet_transport","L-GAV","false","","","","",""
"319-ROT","ROT","ROT","319","gate","jet_transport","L-GAV","false","","","","",""
"73H-ROT","ROT","ROT","73H","gate","jet_transport","L-GAV","false","","","","",""
"310-ROT","ROT","ROT","310","gate","jet_transport","L-GAV","false","","","","",""
"E70-ROT","ROT","ROT","E70","gate","jet_transport","L-GAV","false","","","","",""
"DH4-ROT","ROT","ROT","DH4","gate","jet_transport","L-GAV","false","","","","",""
"M82-SAS","SAS","SAS","M82","gate","jet_transport","L-GAV","false","","","","",""
"321-SAS","SAS","SAS","321","gate","jet_transport","L-GAV","false","","","","",""
"M81-SAS","SAS","SAS","M81","gate","jet_transport","L-GAV","false","","","","",""
"CR9-SAS","SAS","SAS","CR9","gate","jet_transport","L-GAV","false","","","","",""
"319-SAS","SAS","SAS","319","gate","jet_transport","L-GAV","false","","","","",""
"735-SAS","SAS","SAS","735","gate","jet_transport","L-GAV","false","","","","",""
"736-SAS","SAS","SAS","736","gate","jet_transport","L-GAV","false","","","","",""
"735-MSR","MSR","MSR","735","gate","jet_transport","L-GAV","false","","","","",""
"333-DAT","DAT","DAT","333","gate","jet_transport","L-GAV","false","","","","",""
"738-MSR","MSR","MSR","738","gate","jet_transport","L-GAV","false","","","","",""
"330-MSR","MSR","MSR","330","gate","jet_transport","L-GAV","false","","","","",""
"333-GEC","GEC","GEC","333","gate","jet_transport","L-GAV","false","","","","",""
